repo,url,stars,language,created_at,age_years,merged_pull_requests,total_releases,pushed_at,days_since_update,open_issues,closed_issues,closed_issues_ratio
koajs/koa,https://github.com/koajs/koa,35687,JavaScript,2013-07-20T18:53:45Z,13.08,554,18,2026-08-11T12:48:44Z,8,18,915,0.9807
opentofu/manifesto,https://github.com/opentofu/manifesto,35675,HTML,2023-08-13T16:17:24Z,3.01,765,0,2025-03-18T18:26:51Z,518,12,14,0.5385
gchq/CyberChef,https://github.com/gchq/CyberChef,35609,JavaScript,2016-11-28T10:34:07Z,9.72,796,458,2026-08-18T18:46:40Z,0,428,821,0.6573
permissionlesstech/bitchat,https://github.com/permissionlesstech/bitchat,35607,Swift,2025-07-04T14:34:38Z,1.12,508,20,2026-08-16T06:06:55Z,3,39,365,0.9035
restic/restic,https://github.com/restic/restic,35591,Go,2014-04-27T14:07:58Z,12.31,2442,51,2026-08-01T20:25:16Z,17,464,2546,0.8458
microsoft/graphrag,https://github.com/microsoft/graphrag,35575,Python,2024-03-27T17:57:52Z,2.39,754,41,2026-08-18T21:00:20Z,0,4,829,0.9952
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,https://github.com/ryanhanwu/How-To-Ask-Questions-The-Smart-Way,35574,JavaScript,2015-03-28T16:52:40Z,11.39,98,0,2025-01-01T19:14:38Z,594,10,20,0.6667
continuedev/continue,https://github.com/continuedev/continue,35538,TypeScript,2023-05-24T03:39:39Z,3.24,4078,827,2026-08-19T06:27:27Z,0,488,6181,0.9268
refinedev/refine,https://github.com/refinedev/refine,35533,TypeScript,2021-01-20T12:01:32Z,5.58,4697,1000,2026-06-05T15:19:38Z,74,9,1735,0.9948
drizzle-team/drizzle-orm,https://github.com/drizzle-team/drizzle-orm,35517,TypeScript,2021-06-24T09:03:05Z,5.15,713,182,2026-08-19T09:27:02Z,0,1375,2345,0.6304
jqlang/jq,https://github.com/jqlang/jq,35470,C,2012-07-18T19:57:25Z,14.08,709,16,2026-08-12T19:02:39Z,6,360,1990,0.8468
alvarotrigo/fullPage.js,https://github.com/alvarotrigo/fullPage.js,35409,JavaScript,2013-09-20T11:58:29Z,12.91,327,109,2026-03-17T16:13:31Z,154,110,4045,0.9735
casey/just,https://github.com/casey/just,35364,Rust,2016-06-17T06:08:08Z,10.17,1794,146,2026-08-12T23:47:50Z,6,170,1298,0.8842
tailscale/tailscale,https://github.com/tailscale/tailscale,35351,Go,2020-01-31T22:00:03Z,6.55,8705,159,2026-08-19T11:57:19Z,0,3992,6593,0.6229
kuchin/awesome-cto,https://github.com/kuchin/awesome-cto,35342,,2016-12-16T19:22:18Z,9.67,18,0,2026-03-02T12:50:21Z,170,0,15,1.0
nativefier/nativefier,https://github.com/nativefier/nativefier,35285,TypeScript,2015-07-05T05:56:42Z,11.12,261,99,2023-09-29T13:45:16Z,1054,255,982,0.7939
typicode/husky,https://github.com/typicode/husky,35278,JavaScript,2014-06-23T12:14:21Z,12.16,263,80,2026-03-19T23:03:16Z,152,82,1032,0.9264
geekcomputers/Python,https://github.com/geekcomputers/Python,35264,Python,2011-11-30T09:04:08Z,14.72,2034,0,2026-08-17T11:05:26Z,2,380,162,0.2989
VectifyAI/PageIndex,https://github.com/VectifyAI/PageIndex,35246,Python,2025-04-01T10:53:54Z,1.38,89,7,2026-08-19T08:45:58Z,0,68,53,0.438
sahat/hackathon-starter,https://github.com/sahat/hackathon-starter,35246,JavaScript,2013-11-13T17:24:12Z,12.76,608,18,2026-08-18T13:29:30Z,0,1,727,0.9986
blakeblackshear/frigate,https://github.com/blakeblackshear/frigate,35218,TypeScript,2019-01-26T13:52:38Z,7.56,4167,81,2026-08-19T12:24:11Z,0,76,5955,0.9874
