repo,url,stars,language,created_at,age_years,merged_pull_requests,total_releases,pushed_at,days_since_update,open_issues,closed_issues,closed_issues_ratio
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,541132,Markdown,2018-05-09T12:03:18Z,8.28,157,0,2026-07-14T19:25:58Z,35,271,677,0.7141
sindresorhus/awesome,https://github.com/sindresorhus/awesome,497669,,2014-07-11T13:42:37Z,12.1,701,0,2026-08-18T13:28:50Z,0,16,352,0.9565
public-apis/public-apis,https://github.com/public-apis/public-apis,465418,Python,2016-03-20T23:49:42Z,10.41,2147,0,2026-08-18T19:20:39Z,0,30,910,0.9681
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,454321,TypeScript,2014-12-24T17:49:19Z,11.65,29115,0,2026-08-19T10:40:53Z,0,164,21899,0.9926
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,394765,Python,2013-10-11T06:50:37Z,12.85,7423,0,2026-08-18T14:16:15Z,0,38,1255,0.9706
openclaw/openclaw,https://github.com/openclaw/openclaw,386764,TypeScript,2025-11-24T10:16:47Z,0.73,26331,234,2026-08-19T12:52:53Z,0,3495,44081,0.9265
nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,364913,TypeScript,2017-03-15T13:45:52Z,9.43,4399,1,2026-08-18T11:56:04Z,1,0,3185,1.0
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,364838,Python,2017-02-26T16:15:28Z,9.47,210,0,2026-03-20T01:52:19Z,152,275,127,0.3159
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,359200,,2016-06-06T02:34:12Z,10.2,415,0,2025-08-28T14:42:47Z,355,81,455,0.8489
vinta/awesome-python,https://github.com/vinta/awesome-python,314858,Python,2014-06-27T21:00:06Z,12.14,741,0,2026-08-16T13:31:43Z,2,0,0,
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,313651,,2015-06-01T02:33:17Z,11.22,0,1,2026-08-19T10:02:51Z,0,0,0,
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,279882,Python,2017-04-12T05:07:46Z,9.35,194,0,2026-08-17T06:46:47Z,2,152,88,0.3667
996icu/996.ICU,https://github.com/996icu/996.ICU,276719,,2019-03-26T07:31:14Z,7.4,1072,0,2025-08-22T06:01:29Z,362,0,0,
obra/superpowers,https://github.com/obra/superpowers,273995,Shell,2025-10-09T19:45:18Z,0.86,167,12,2026-08-13T00:36:31Z,6,98,755,0.8851
react/react,https://github.com/react/react,247420,JavaScript,2013-05-24T16:15:54Z,13.23,13034,132,2026-08-19T12:51:35Z,0,822,13801,0.9438
torvalds/linux,https://github.com/torvalds/linux,243286,C,2011-09-04T22:48:12Z,14.95,0,0,2026-08-19T02:54:46Z,0,0,0,
affaan-m/ECC,https://github.com/affaan-m/ECC,241081,JavaScript,2026-01-18T00:51:51Z,0.58,997,15,2026-08-18T20:07:38Z,0,43,667,0.9394
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,239125,,2018-06-23T10:43:14Z,8.16,122,0,2024-11-19T14:00:38Z,637,0,0,
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,232847,Python,2025-07-22T22:22:28Z,1.07,11245,28,2026-08-19T10:40:40Z,0,11280,11296,0.5004
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,223865,Python,2016-07-16T09:44:01Z,10.09,3088,0,2026-08-03T18:44:56Z,15,143,1606,0.9182
mattpocock/skills,https://github.com/mattpocock/skills,222821,Shell,2026-02-03T11:15:53Z,0.54,92,7,2026-08-19T10:05:08Z,0,368,304,0.4524
vuejs/vue,https://github.com/vuejs/vue,210239,TypeScript,2013-07-29T03:24:51Z,13.06,1136,249,2024-10-10T07:24:15Z,678,365,9670,0.9636
ossu/computer-science,https://github.com/ossu/computer-science,208161,HTML,2014-05-04T00:18:39Z,12.29,315,0,2026-07-14T05:38:25Z,36,17,658,0.9748
multica-ai/andrej-karpathy-skills,https://github.com/multica-ai/andrej-karpathy-skills,203811,,2026-01-27T03:53:13Z,0.56,12,0,2026-04-20T10:05:04Z,121,0,0,
n8n-io/n8n,https://github.com/n8n-io/n8n,201175,TypeScript,2019-06-22T09:24:21Z,7.16,20160,767,2026-08-19T12:56:11Z,0,338,9701,0.9663
anomalyco/opencode,https://github.com/anomalyco/opencode,199062,TypeScript,2025-04-30T20:08:00Z,1.3,7333,860,2026-08-19T12:55:25Z,0,3955,20133,0.8358
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,197061,C++,2015-11-07T01:19:20Z,10.78,48928,222,2026-08-19T12:54:04Z,0,767,40932,0.9816
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,196522,JavaScript,2018-03-24T07:47:04Z,8.41,309,0,2026-07-26T02:43:08Z,24,135,238,0.6381
ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,195087,Rust,2026-03-31T08:58:08Z,0.39,143,0,2026-08-16T06:18:45Z,3,16,2195,0.9928
DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,194277,Markdown,2024-05-30T13:23:00Z,2.22,0,0,2026-08-12T10:36:46Z,7,0,0,
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,189265,Shell,2009-08-28T18:15:37Z,16.97,3653,0,2026-08-17T21:45:08Z,1,154,4925,0.9697
microsoft/vscode,https://github.com/microsoft/vscode,188925,TypeScript,2015-09-03T20:23:38Z,10.96,52141,234,2026-08-19T12:40:56Z,0,17519,233670,0.9303
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,187542,Batchfile,2020-01-12T23:03:34Z,6.6,7,31,2026-07-04T16:54:38Z,45,6,1067,0.9944
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,186683,Python,2023-03-16T09:21:07Z,3.43,4773,117,2026-08-19T06:48:27Z,0,288,3651,0.9269
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,185540,Python,2020-10-26T04:22:55Z,5.81,3405,135,2026-08-19T06:42:14Z,0,1972,9951,0.8346
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,185484,,2018-02-13T14:56:24Z,8.51,374,0,2024-08-21T09:40:10Z,728,130,449,0.7755
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,185370,Jupyter Notebook,2018-03-01T16:05:52Z,8.47,13,0,2026-07-29T15:18:29Z,20,536,193,0.2647
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,184711,,2013-11-16T02:37:24Z,12.76,370,0,2026-02-15T04:36:44Z,185,0,947,1.0
avelino/awesome-go,https://github.com/avelino/awesome-go,181511,Go,2014-07-06T13:42:15Z,12.12,3880,0,2026-08-19T09:52:23Z,0,23,736,0.9697
ollama/ollama,https://github.com/ollama/ollama,178951,Go,2023-06-26T19:39:32Z,3.15,3526,245,2026-08-19T03:51:40Z,0,2424,8593,0.78
flutter/flutter,https://github.com/flutter/flutter,178491,Dart,2015-03-06T22:54:58Z,11.45,49653,7,2026-08-19T12:33:29Z,0,12582,102649,0.8908
github/gitignore,https://github.com/github/gitignore,175375,,2010-11-08T20:17:14Z,15.78,1779,0,2026-07-23T16:06:45Z,26,0,0,
microsoft/markitdown,https://github.com/microsoft/markitdown,174627,Python,2024-11-13T19:56:40Z,1.76,183,20,2026-07-29T18:18:09Z,20,391,181,0.3164
twbs/bootstrap,https://github.com/twbs/bootstrap,174612,MDX,2011-07-29T21:19:00Z,15.06,9481,94,2026-08-19T02:15:32Z,0,106,22838,0.9954
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,171732,Python,2016-05-04T06:24:11Z,10.29,17,68,2026-08-02T07:58:25Z,17,613,2709,0.8155
anthropics/skills,https://github.com/anthropics/skills,170413,Python,2025-09-22T15:53:31Z,0.9,50,0,2026-08-18T16:02:06Z,0,315,49,0.1346
firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,169424,TypeScript,2024-04-15T21:02:29Z,2.34,1934,35,2026-08-19T12:05:31Z,0,68,886,0.9287
f/prompts.chat,https://github.com/f/prompts.chat,167531,HTML,2022-12-05T13:54:13Z,3.7,236,0,2026-08-19T03:21:13Z,0,21,152,0.8786
deepseek-ai/deepseek-harness,https://github.com/deepseek-ai/deepseek-harness,165150,TypeScript,2026-08-13T11:56:32Z,0.02,0,1,2026-08-17T12:01:58Z,2,0,0,
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,164578,Python,2022-08-22T14:05:26Z,3.99,1875,27,2026-03-02T07:00:53Z,170,2422,5491,0.6939
huggingface/transformers,https://github.com/huggingface/transformers,164253,Python,2018-10-29T13:56:00Z,7.8,20218,269,2026-08-19T12:53:16Z,0,872,18457,0.9549
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,162124,,2015-05-20T15:11:03Z,11.25,317,0,2024-06-25T18:13:44Z,784,126,138,0.5227
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,157882,JavaScript,2018-05-07T13:27:00Z,8.28,1270,0,2026-08-18T13:05:40Z,0,58,1100,0.9499
langflow-ai/langflow,https://github.com/langflow-ai/langflow,153464,Python,2023-02-08T22:28:03Z,3.52,7304,304,2026-08-19T12:34:38Z,0,215,3208,0.9372
langgenius/dify,https://github.com/langgenius/dify,152896,TypeScript,2023-04-12T07:40:24Z,3.35,13430,168,2026-08-19T12:36:07Z,0,290,18360,0.9845
open-webui/open-webui,https://github.com/open-webui/open-webui,149226,Python,2023-10-06T22:08:27Z,2.87,4058,167,2026-08-19T05:09:44Z,0,202,9197,0.9785
airbnb/javascript,https://github.com/airbnb/javascript,148132,JavaScript,2012-11-01T23:13:50Z,13.79,822,0,2026-04-16T19:24:09Z,124,100,1316,0.9294
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,147906,C,2017-11-21T18:00:27Z,8.74,153,52,2026-08-17T10:27:07Z,2,2793,3355,0.5457
msitarzewski/agency-agents,https://github.com/msitarzewski/agency-agents,146213,Shell,2025-10-13T12:12:29Z,0.85,222,0,2026-08-06T13:29:47Z,12,58,87,0.6
langchain-ai/langchain,https://github.com/langchain-ai/langchain,144558,Python,2022-10-17T02:58:36Z,3.84,17267,1000,2026-08-19T10:38:36Z,0,327,9682,0.9673
x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,142922,,2025-03-05T16:38:29Z,1.45,52,0,2026-08-11T13:01:09Z,8,91,121,0.5708
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,141992,TypeScript,2016-07-05T05:00:48Z,10.12,494,0,2026-08-07T12:06:42Z,12,34,92,0.7302
anthropics/claude-code,https://github.com/anthropics/claude-code,141978,Python,2025-02-22T17:41:21Z,1.48,162,191,2026-08-18T20:38:54Z,0,14378,70811,0.8312
vercel/next.js,https://github.com/vercel/next.js,141864,JavaScript,2016-10-05T23:32:51Z,9.87,28227,1000,2026-08-19T12:56:29Z,0,1920,23289,0.9238
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,140973,Python,2010-10-31T14:35:07Z,15.8,1646,341,2026-02-19T16:45:25Z,180,3626,23205,0.8649
clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,138805,TypeScript,2023-11-21T18:24:03Z,2.74,1014,67,2026-08-19T12:07:00Z,0,388,5421,0.9332
microsoft/PowerToys,https://github.com/microsoft/PowerToys,137878,C,2019-05-01T17:44:02Z,7.3,7012,141,2026-08-19T09:30:54Z,0,7385,33764,0.8205
iptv-org/iptv,https://github.com/iptv-org/iptv,136171,TypeScript,2018-11-14T22:00:57Z,7.76,6997,0,2026-08-19T05:20:35Z,0,41,34495,0.9988
golang/go,https://github.com/golang/go,135903,Go,2014-08-19T04:33:40Z,12.0,1,0,2026-08-19T00:24:25Z,0,9718,63163,0.8667
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,135380,Markdown,2020-02-19T09:01:23Z,6.5,244,0,2026-02-28T10:07:31Z,172,0,981,1.0
Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,133203,Python,2024-04-29T05:30:25Z,2.31,242,0,2026-08-17T02:42:50Z,2,6,168,0.9655
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,132182,HTML,2015-03-18T21:06:26Z,11.42,3080,0,2026-08-17T11:45:22Z,2,0,0,
github/spec-kit,https://github.com/github/spec-kit,130256,Python,2025-08-21T22:54:31Z,0.99,1397,212,2026-08-19T12:54:49Z,0,157,1358,0.8964
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,130005,TypeScript,2020-01-02T01:04:43Z,6.63,3961,15,2026-08-16T15:30:04Z,2,2261,2650,0.5396
krahets/hello-algo,https://github.com/krahets/hello-algo,129474,Java,2022-11-04T11:08:34Z,3.79,996,10,2026-08-17T20:58:58Z,1,14,278,0.9521
Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,128744,JavaScript,2017-11-29T17:35:03Z,8.72,856,12,2026-08-19T06:19:54Z,0,0,300,1.0
garrytan/gstack,https://github.com/garrytan/gstack,128689,TypeScript,2026-03-11T21:22:45Z,0.44,307,0,2026-08-19T00:14:32Z,0,308,461,0.5995
Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,128407,Python,2023-01-17T03:15:56Z,3.59,3161,153,2026-08-19T06:59:54Z,0,4104,5044,0.5514
farion1231/cc-switch,https://github.com/farion1231/cc-switch,128247,Rust,2025-08-04T14:16:16Z,1.04,458,51,2026-08-19T05:49:45Z,0,1499,3185,0.68
react/react-native,https://github.com/react/react-native,126364,C++,2015-01-09T18:10:16Z,11.61,999,471,2026-08-19T12:13:05Z,0,674,27107,0.9757
ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,124658,C++,2023-03-10T18:58:00Z,3.44,9752,1000,2026-08-19T12:29:02Z,0,766,8775,0.9197
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,124593,Go,2014-06-06T22:56:04Z,12.2,65650,810,2026-08-18T18:53:48Z,0,1842,47701,0.9628
electron/electron,https://github.com/electron/electron,122574,C++,2013-04-12T01:47:36Z,13.35,26667,1000,2026-08-19T11:11:13Z,0,682,21143,0.9688
shadcn-ui/ui,https://github.com/shadcn-ui/ui,121635,TypeScript,2023-01-04T12:43:27Z,3.62,1439,117,2026-08-19T02:51:52Z,0,1066,3169,0.7483
rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,121240,Rust,2020-09-28T15:36:08Z,5.89,4211,39,2026-08-19T07:31:40Z,0,82,4228,0.981
nodejs/node,https://github.com/nodejs/node,119017,JavaScript,2014-11-26T19:57:11Z,11.73,13216,512,2026-08-19T09:34:03Z,0,699,20075,0.9664
Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,118614,,2016-03-30T15:47:10Z,10.38,41,0,2026-07-26T03:29:02Z,24,0,0,
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,118395,,2013-11-04T01:59:19Z,12.79,300,3,2026-07-29T00:39:06Z,21,0,0,
nextlevelbuilder/ui-ux-pro-max-skill,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,118118,Python,2025-11-30T11:36:31Z,0.72,139,41,2026-08-18T18:16:41Z,0,39,134,0.7746
microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,118079,Jupyter Notebook,2023-06-19T16:28:59Z,3.16,601,0,2026-08-13T03:43:40Z,6,0,244,1.0
godotengine/godot,https://github.com/godotengine/godot,115867,C++,2014-01-04T16:05:36Z,12.62,43375,72,2026-08-19T07:22:57Z,0,13411,49952,0.7883
rust-lang/rust,https://github.com/rust-lang/rust,115607,Rust,2010-06-16T20:39:03Z,16.17,73601,153,2026-08-19T12:10:01Z,0,11356,52191,0.8213
mrdoob/three.js,https://github.com/mrdoob/three.js,114609,JavaScript,2010-03-23T18:58:01Z,16.41,16000,177,2026-08-19T11:27:02Z,0,246,13496,0.9821
2dust/v2rayN,https://github.com/2dust/v2rayN,114208,C#,2019-07-30T03:47:24Z,7.06,606,333,2026-08-19T05:48:59Z,0,17,7122,0.9976
d3/d3,https://github.com/d3/d3,113494,Shell,2010-09-27T17:22:42Z,15.89,495,194,2026-05-28T14:43:01Z,82,5,2242,0.9978
immich-app/immich,https://github.com/immich-app/immich,111616,TypeScript,2022-02-03T15:56:27Z,4.54,10026,305,2026-08-19T12:54:04Z,0,480,8667,0.9475
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,111417,Swift,2016-07-17T15:33:47Z,10.09,1245,15,2026-08-19T05:26:55Z,0,159,403,0.7171
tauri-apps/tauri,https://github.com/tauri-apps/tauri,110355,Rust,2019-07-13T09:09:37Z,7.1,5674,0,2026-08-19T04:42:18Z,0,1284,5134,0.7999
microsoft/TypeScript,https://github.com/microsoft/TypeScript,110204,TypeScript,2014-06-17T15:28:39Z,12.17,14893,217,2026-08-14T19:07:48Z,4,5028,38227,0.8838
browser-use/browser-use,https://github.com/browser-use/browser-use,109727,Python,2024-10-31T16:00:56Z,1.8,1896,135,2026-08-18T17:07:08Z,0,102,1504,0.9365
harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,109705,Python,2024-03-11T02:57:34Z,2.44,203,17,2026-08-19T08:30:15Z,0,16,755,0.9792
VoltAgent/awesome-design-md,https://github.com/VoltAgent/awesome-design-md,109240,,2026-03-31T16:37:01Z,0.38,6,0,2026-07-31T12:32:42Z,19,307,78,0.2026
axios/axios,https://github.com/axios/axios,109198,JavaScript,2014-08-18T22:30:27Z,12.0,1481,123,2026-08-18T10:13:13Z,1,47,5008,0.9907
fatedier/frp,https://github.com/fatedier/frp,108876,Go,2015-12-21T15:24:59Z,10.66,861,116,2026-08-17T16:24:14Z,1,42,4100,0.9899
papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,108841,Shell,2013-12-15T14:31:41Z,12.67,444,0,2026-07-01T09:14:27Z,49,2,245,0.9919
denoland/deno,https://github.com/denoland/deno,108259,Rust,2018-05-15T01:34:26Z,8.26,16462,388,2026-08-19T12:55:41Z,0,1177,13826,0.9215
supabase/supabase,https://github.com/supabase/supabase,108158,TypeScript,2019-10-12T05:56:49Z,6.85,18685,30,2026-08-19T12:53:25Z,0,277,5568,0.9526
Graphify-Labs/graphify,https://github.com/Graphify-Labs/graphify,108153,Python,2026-04-03T15:49:07Z,0.38,135,192,2026-08-17T18:42:58Z,1,486,904,0.6504
openai/whisper,https://github.com/openai/whisper,107603,Python,2022-09-16T20:02:54Z,3.92,122,13,2026-07-28T20:18:29Z,21,0,0,
openai/codex,https://github.com/openai/codex,106808,Rust,2025-04-13T05:37:54Z,1.35,9624,996,2026-08-19T12:56:18Z,0,12910,10488,0.4482
google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,106573,TypeScript,2025-04-17T17:04:31Z,1.34,6657,589,2026-08-19T01:07:23Z,0,557,13671,0.9609
DietrichGebert/ponytail,https://github.com/DietrichGebert/ponytail,105737,JavaScript,2026-06-12T00:52:37Z,0.19,174,15,2026-08-07T21:44:01Z,11,58,211,0.7844
goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,105589,Dockerfile,2017-09-15T08:33:19Z,8.93,766,0,2026-06-15T11:41:04Z,65,54,288,0.8421
microsoft/terminal,https://github.com/microsoft/terminal,104631,C++,2017-08-11T18:38:22Z,9.02,4521,156,2026-08-18T22:23:50Z,0,1648,12410,0.8828
deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,104339,Python,2024-12-26T09:52:40Z,1.65,25,1,2025-08-28T03:24:37Z,356,140,944,0.8708
react/create-react-app,https://github.com/react/create-react-app,103287,JavaScript,2016-07-17T14:55:11Z,10.09,1949,83,2025-02-15T01:32:11Z,550,1857,6576,0.7798
rasbt/LLMs-from-scratch,https://github.com/rasbt/LLMs-from-scratch,102994,Jupyter Notebook,2023-07-23T18:15:57Z,3.07,507,0,2026-08-10T01:11:40Z,9,2,238,0.9917
pytorch/pytorch,https://github.com/pytorch/pytorch,102480,Python,2016-08-13T05:26:41Z,10.02,6596,68,2026-08-19T12:51:41Z,0,13897,46541,0.7701
Anduin2017/HowToCook,https://github.com/Anduin2017/HowToCook,101892,,2020-02-29T10:43:49Z,6.47,645,5,2026-08-17T12:25:16Z,2,464,392,0.4579
neovim/neovim,https://github.com/neovim/neovim,101862,Vim Script,2014-01-31T13:39:22Z,12.54,19662,54,2026-08-19T12:14:41Z,0,1587,12904,0.8905
fastapi/fastapi,https://github.com/fastapi/fastapi,101692,Python,2018-12-08T08:21:47Z,7.7,3569,300,2026-08-19T08:58:11Z,0,1,3543,0.9997
angular/angular,https://github.com/angular/angular,101006,TypeScript,2014-09-18T16:12:01Z,11.92,7365,689,2026-08-19T00:42:26Z,0,992,29905,0.9679
ruanyf/weekly,https://github.com/ruanyf/weekly,100771,,2018-10-13T12:36:07Z,7.85,120,0,2026-08-14T00:20:26Z,5,8737,1689,0.162
mtdvio/every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know,100264,,2017-08-24T13:18:26Z,8.98,109,0,2025-12-29T19:37:02Z,232,16,31,0.6596
JuliusBrussee/caveman,https://github.com/JuliusBrussee/caveman,99143,Go,2026-04-04T10:03:00Z,0.38,59,22,2026-08-19T12:54:04Z,0,166,184,0.5257
ant-design/ant-design,https://github.com/ant-design/ant-design,99117,TypeScript,2015-04-24T15:37:24Z,11.32,18240,759,2026-08-19T10:53:43Z,0,1014,31756,0.9691
TauricResearch/TradingAgents,https://github.com/TauricResearch/TradingAgents,98905,Python,2024-12-28T03:31:08Z,1.64,27,8,2026-07-18T15:55:05Z,31,183,272,0.5978
mui/material-ui,https://github.com/mui/material-ui,98863,JavaScript,2014-08-18T19:11:54Z,12.0,22177,572,2026-08-19T09:19:22Z,0,1378,19136,0.9328
nvbn/thefuck,https://github.com/nvbn/thefuck,97715,Python,2015-04-08T15:08:04Z,11.36,482,17,2024-07-19T14:56:13Z,760,307,483,0.6114
tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,97283,TypeScript,2017-10-06T14:59:14Z,8.87,3476,307,2026-08-14T19:43:34Z,4,25,4878,0.9949
florinpop17/app-ideas,https://github.com/florinpop17/app-ideas,96912,,2019-02-25T18:36:56Z,7.48,151,0,2025-10-11T14:51:21Z,311,148,53,0.2637
microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,96376,JavaScript,2020-11-10T02:44:00Z,5.77,689,0,2026-08-05T10:13:10Z,14,67,392,0.854
hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,96000,Python,2023-09-24T13:19:31Z,2.9,122,13,2026-08-13T22:44:22Z,5,22,1156,0.9813
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,95467,TypeScript,2017-05-09T22:16:13Z,9.28,6211,701,2026-08-19T06:09:48Z,0,247,7154,0.9666
oven-sh/bun,https://github.com/oven-sh/bun,95457,Rust,2021-04-14T00:48:17Z,5.35,9791,214,2026-08-19T12:57:06Z,0,3218,14332,0.8166
ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,94758,JavaScript,2016-11-25T22:25:41Z,9.73,149,0,2024-07-29T07:24:37Z,751,81,166,0.6721
microsoft/playwright,https://github.com/microsoft/playwright,94732,TypeScript,2019-11-15T18:32:42Z,6.76,17715,165,2026-08-19T06:44:48Z,0,146,17672,0.9918
nvm-sh/nvm,https://github.com/nvm-sh/nvm,94654,Shell,2010-04-15T17:47:47Z,16.34,761,74,2026-08-18T06:42:47Z,1,337,2111,0.8623
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,94588,Java,2014-08-09T16:45:18Z,12.02,1578,0,2026-08-17T22:42:48Z,1,121,865,0.8773
karpathy/autoresearch,https://github.com/karpathy/autoresearch,94137,Python,2026-03-06T22:00:43Z,0.45,7,0,2026-03-26T00:07:37Z,146,54,59,0.5221
earendil-works/pi,https://github.com/earendil-works/pi,93617,TypeScript,2025-08-09T14:03:50Z,1.02,909,255,2026-08-19T12:56:30Z,0,92,5100,0.9823
punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,92565,,2024-11-30T04:49:10Z,1.72,3391,0,2026-08-17T21:28:42Z,1,4,551,0.9928
deepseek-ai/DeepSeek-R1,https://github.com/deepseek-ai/DeepSeek-R1,92032,,2025-01-20T11:57:28Z,1.58,10,1,2025-06-27T08:35:54Z,418,13,716,0.9822
3b1b/manim,https://github.com/3b1b/manim,91695,Python,2015-03-22T18:50:58Z,11.41,702,13,2026-08-18T21:03:49Z,0,462,775,0.6265
thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,91225,JavaScript,2025-08-31T20:50:03Z,0.96,509,307,2026-08-19T11:46:59Z,0,22,1910,0.9886
ruvnet/RuView,https://github.com/ruvnet/RuView,90892,Rust,2025-06-07T04:32:30Z,1.2,402,284,2026-08-19T12:11:27Z,0,35,433,0.9252
storybookjs/storybook,https://github.com/storybookjs/storybook,90875,TypeScript,2016-03-18T04:23:44Z,10.42,13132,1000,2026-08-19T12:44:35Z,0,1573,12962,0.8918
opencv/opencv,https://github.com/opencv/opencv,90497,C++,2012-07-19T09:40:17Z,14.08,14058,69,2026-08-19T11:24:19Z,0,2541,9097,0.7817
louislam/uptime-kuma,https://github.com/louislam/uptime-kuma,90342,JavaScript,2021-07-03T01:02:42Z,5.13,1816,131,2026-08-19T00:33:12Z,0,708,4224,0.8564
PanJiaChen/vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,90207,Vue,2017-04-17T03:35:49Z,9.34,311,49,2024-10-24T11:25:46Z,664,1256,2357,0.6524
home-assistant/core,https://github.com/home-assistant/core,89976,Python,2013-09-17T07:29:48Z,12.92,90113,1000,2026-08-19T12:52:09Z,0,2864,70444,0.9609
bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,89945,C++,2010-12-19T15:16:43Z,15.66,16821,68,2026-08-18T22:53:38Z,0,332,8840,0.9638
Stirling-Tools/Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,89848,Java,2023-01-27T18:22:42Z,3.56,4108,186,2026-08-19T12:52:40Z,0,364,1497,0.8044
mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,89843,TypeScript,2014-11-01T23:52:32Z,11.79,2817,206,2026-08-19T12:30:05Z,0,1440,2341,0.6191
sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,89797,Python,2018-12-24T14:30:48Z,7.65,744,2,2026-08-19T05:34:57Z,0,98,1078,0.9167
modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,89684,TypeScript,2024-11-19T01:10:17Z,1.75,1228,27,2026-08-18T16:04:56Z,0,244,935,0.793
microsoft/ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners,89521,Jupyter Notebook,2021-03-03T01:34:05Z,5.46,496,0,2026-08-12T11:03:44Z,7,3,163,0.9819
gohugoio/hugo,https://github.com/gohugoio/hugo,89447,Go,2013-07-04T15:26:26Z,13.12,3482,381,2026-08-19T11:13:55Z,0,214,7994,0.9739
vllm-project/vllm,https://github.com/vllm-project/vllm,89436,Python,2023-02-09T11:23:20Z,3.52,20092,103,2026-08-19T12:48:45Z,0,2165,15250,0.8757
